10PR0001_001s,10PR0001_001,10PR0001,10PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(B73×CML228)S8,NULL,31,NULL,NULL,NULL,NULL
10PR0001_002s,10PR0001_002,10PR0001,10PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(B73×CML228)S8,NULL,31,NULL,NULL,NULL,NULL
10PR0001_003s,10PR0001_003,10PR0001,10PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(B73×CML228)S8,NULL,31,NULL,NULL,NULL,NULL
10PR0001_004s,10PR0001_004,10PR0001,10PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(B73×CML228)S8,NULL,31,NULL,NULL,NULL,NULL
10PR0001_005s,10PR0001_005,10PR0001,10PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(B73×CML228)S8,NULL,31,NULL,NULL,NULL,NULL
10PR0001_006s,10PR0001_006,10PR0001,10PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(B73×CML228)S8,NULL,31,NULL,NULL,NULL,NULL
10PR0001_007s,10PR0001_007,10PR0001,10PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(B73×CML228)S8,NULL,31,NULL,NULL,NULL,NULL
10PR0001_008s,10PR0001_008,10PR0001,10PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(B73×CML228)S8,NULL,31,NULL,NULL,NULL,NULL
10PR0001_009s,10PR0001_009,10PR0001,10PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(B73×CML228)S8,NULL,31,NULL,NULL,NULL,NULL
10PR0001_010s,10PR0001_010,10PR0001,10PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(B73×CML228)S8,NULL,31,NULL,NULL,NULL,NULL
10PR0002_001s,10PR0002_001,10PR0002,10PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(B73×CML228)S8,NULL,31,NULL,NULL,NULL,NULL
10PR0002_002s,10PR0002_002,10PR0002,10PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(B73×CML228)S8,NULL,31,NULL,NULL,NULL,NULL
10PR0002_003s,10PR0002_003,10PR0002,10PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(B73×CML228)S8,NULL,31,NULL,NULL,NULL,NULL
10PR0002_004s,10PR0002_004,10PR0002,10PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(B73×CML228)S8,NULL,31,NULL,NULL,NULL,NULL
10PR0002_005s,10PR0002_005,10PR0002,10PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(B73×CML228)S8,NULL,31,NULL,NULL,NULL,NULL
